Name,Budget,Lease Duration,Furnishing,Smoking/Drinking,Guests Allowed,Daily Routine
Aanya_273,20000,Long-term,Semi-furnished,Occasionally,Yes,Day Scholar
Siddharth_338,12000,Short-term,Unfurnished,Yes,No,Day Scholar
Arjun_443,10000,Short-term,Semi-furnished,No,Occasionally,Day Scholar
Avni_469,5000,Long-term,Semi-furnished,Yes,Occasionally,Night Owl
Pooja_494,5000,Long-term,Unfurnished,No,Yes,Day Scholar
Pallavi_408,12000,Long-term,Furnished,Yes,Yes,Day Scholar
Tanya_356,5000,Long-term,Furnished,Occasionally,Yes,Day Scholar
Pallavi_195,10000,Short-term,Unfurnished,Occasionally,No,Night Owl
Aniket_396,15000,Short-term,Furnished,Yes,No,Day Scholar
Swati_190,7000,Long-term,Semi-furnished,Occasionally,No,Day Scholar
Bhavya_105,25000,Short-term,Semi-furnished,Yes,Yes,Night Owl
Ishita_459,20000,Long-term,Furnished,Yes,No,Day Scholar
Priya_16,25000,Long-term,Furnished,Yes,No,Night Owl
Aanya_182,5000,Short-term,Unfurnished,No,No,Day Scholar
Rekha_291,5000,Short-term,Unfurnished,No,Occasionally,Day Scholar
Meera_278,25000,Long-term,Semi-furnished,Occasionally,Yes,Night Owl
Swati_453,12000,Long-term,Furnished,Occasionally,No,Night Owl
Sneha_437,7000,Short-term,Furnished,No,Occasionally,Night Owl
Priya_397,20000,Short-term,Unfurnished,Occasionally,Occasionally,Day Scholar
Yash_22,25000,Short-term,Furnished,Yes,Occasionally,Night Owl
Divya_152,20000,Short-term,Unfurnished,Occasionally,Yes,Day Scholar
Kabir_372,20000,Long-term,Unfurnished,No,Yes,Night Owl
Vihaan_42,10000,Long-term,Unfurnished,Yes,No,Day Scholar
Sarita_205,15000,Short-term,Semi-furnished,Occasionally,Occasionally,Day Scholar
Ishaan_469,12000,Short-term,Semi-furnished,No,No,Day Scholar
Simran_418,5000,Long-term,Furnished,Yes,No,Day Scholar
Vivaan_328,20000,Short-term,Semi-furnished,Yes,Occasionally,Night Owl
Manish_249,10000,Short-term,Furnished,Occasionally,Yes,Day Scholar
Ishaan_59,5000,Short-term,Unfurnished,Occasionally,Yes,Day Scholar
Priya_10,10000,Long-term,Furnished,Yes,Yes,Day Scholar
Yash_354,10000,Short-term,Unfurnished,Yes,Yes,Night Owl
Aniket_490,25000,Short-term,Furnished,Occasionally,No,Night Owl
Tanya_97,15000,Short-term,Unfurnished,No,No,Night Owl
Sarita_448,5000,Short-term,Furnished,No,Yes,Day Scholar
Ishaan_249,12000,Short-term,Furnished,No,Yes,Day Scholar
Rohan_13,15000,Short-term,Furnished,No,Yes,Night Owl
Pallavi_346,15000,Short-term,Unfurnished,Occasionally,Yes,Night Owl
Rohan_440,12000,Long-term,Semi-furnished,No,Yes,Day Scholar
Vikram_64,7000,Long-term,Unfurnished,No,Occasionally,Day Scholar
Sarita_82,20000,Long-term,Furnished,Occasionally,Yes,Night Owl
Vikram_295,5000,Long-term,Semi-furnished,Yes,No,Day Scholar
Priya_390,12000,Short-term,Semi-furnished,Occasionally,Yes,Night Owl
Ishita_384,15000,Short-term,Unfurnished,Occasionally,No,Day Scholar
Tanya_489,25000,Short-term,Semi-furnished,Yes,No,Night Owl
Neha_42,7000,Long-term,Furnished,No,Yes,Day Scholar
Ananya_476,20000,Long-term,Furnished,No,No,Night Owl
Aanya_419,10000,Short-term,Semi-furnished,No,No,Day Scholar
Vivaan_45,25000,Long-term,Semi-furnished,Yes,Yes,Night Owl
Kavya_311,12000,Long-term,Semi-furnished,Occasionally,Occasionally,Night Owl
Siddharth_479,20000,Long-term,Unfurnished,Yes,Yes,Night Owl
Neha_94,10000,Long-term,Furnished,Occasionally,Occasionally,Night Owl
Aarav_475,25000,Short-term,Furnished,No,Yes,Day Scholar
Tanya_450,10000,Short-term,Unfurnished,Yes,Yes,Night Owl
Siddharth_498,20000,Short-term,Semi-furnished,Yes,No,Night Owl
Aryan_241,12000,Short-term,Semi-furnished,Occasionally,No,Night Owl
Riya_27,25000,Long-term,Furnished,No,Yes,Night Owl
Tanya_374,5000,Long-term,Furnished,Yes,No,Night Owl
Krishna_225,5000,Long-term,Semi-furnished,Yes,No,Night Owl
Pallavi_52,20000,Short-term,Unfurnished,Occasionally,No,Night Owl
Vivaan_149,5000,Short-term,Semi-furnished,Yes,Yes,Night Owl
Saanvi_477,10000,Long-term,Furnished,Occasionally,No,Day Scholar
Vikram_346,10000,Short-term,Semi-furnished,Occasionally,Yes,Night Owl
Riya_76,12000,Long-term,Semi-furnished,Occasionally,Occasionally,Night Owl
Bhavya_481,25000,Short-term,Unfurnished,Occasionally,Yes,Day Scholar
Meera_498,5000,Short-term,Semi-furnished,Yes,Occasionally,Night Owl
Ishita_379,12000,Long-term,Furnished,Yes,Occasionally,Night Owl
Yash_43,15000,Long-term,Furnished,Yes,Occasionally,Night Owl
Rahul_137,5000,Short-term,Unfurnished,No,No,Day Scholar
Sarita_234,20000,Short-term,Unfurnished,Yes,No,Night Owl
Pallavi_44,25000,Long-term,Semi-furnished,Occasionally,Occasionally,Day Scholar
Preeti_125,20000,Short-term,Semi-furnished,Yes,Occasionally,Night Owl
Divya_452,15000,Long-term,Unfurnished,Yes,No,Day Scholar
Vihaan_344,20000,Long-term,Semi-furnished,Yes,Yes,Day Scholar
Pooja_213,15000,Short-term,Semi-furnished,Yes,No,Night Owl
Yash_427,12000,Long-term,Unfurnished,Yes,Occasionally,Night Owl
Aarav_27,10000,Short-term,Unfurnished,Yes,No,Day Scholar
Avni_362,25000,Long-term,Semi-furnished,Occasionally,Yes,Night Owl
Rekha_109,5000,Short-term,Semi-furnished,Occasionally,No,Night Owl
Aarav_83,5000,Long-term,Furnished,Yes,Occasionally,Day Scholar
Rajesh_322,7000,Long-term,Semi-furnished,Occasionally,No,Day Scholar
Vihaan_286,5000,Long-term,Semi-furnished,No,Occasionally,Night Owl
Rekha_462,12000,Long-term,Unfurnished,No,Occasionally,Day Scholar
Tanya_436,10000,Long-term,Semi-furnished,No,Yes,Night Owl
Sneha_204,10000,Long-term,Semi-furnished,Occasionally,Occasionally,Day Scholar
Preeti_444,7000,Long-term,Furnished,Yes,Occasionally,Day Scholar
Vikram_266,20000,Long-term,Semi-furnished,Yes,Yes,Night Owl
Neha_316,10000,Long-term,Furnished,Occasionally,No,Day Scholar
Saanvi_119,15000,Short-term,Furnished,No,No,Day Scholar
Ananya_281,25000,Long-term,Furnished,Occasionally,Occasionally,Night Owl
Pooja_154,5000,Short-term,Semi-furnished,Occasionally,Yes,Night Owl
Kabir_6,20000,Short-term,Unfurnished,No,Yes,Night Owl
Neha_27,7000,Long-term,Unfurnished,Occasionally,Occasionally,Night Owl
Aniket_439,15000,Short-term,Furnished,No,No,Day Scholar
Pooja_346,10000,Short-term,Semi-furnished,Occasionally,Occasionally,Day Scholar
Pallavi_106,7000,Long-term,Semi-furnished,Occasionally,Occasionally,Night Owl
Swati_69,5000,Short-term,Semi-furnished,Yes,Yes,Night Owl
Rohan_252,5000,Long-term,Furnished,No,Yes,Day Scholar
Riya_252,10000,Short-term,Furnished,Occasionally,Yes,Day Scholar
Rohan_434,7000,Long-term,Unfurnished,Yes,Yes,Night Owl
Tanya_290,7000,Short-term,Unfurnished,Yes,Occasionally,Night Owl
Vivaan_459,7000,Short-term,Unfurnished,Occasionally,Yes,Night Owl
Vihaan_238,12000,Short-term,Furnished,No,Yes,Day Scholar
Rekha_201,7000,Short-term,Unfurnished,No,No,Night Owl
Aniket_289,15000,Short-term,Furnished,No,No,Night Owl
Siddharth_304,15000,Short-term,Semi-furnished,Yes,Occasionally,Day Scholar
Neha_381,5000,Short-term,Semi-furnished,No,Yes,Day Scholar
Aditya_11,10000,Long-term,Unfurnished,Occasionally,Occasionally,Day Scholar
Krishna_1,20000,Long-term,Furnished,No,No,Night Owl
Arjun_81,10000,Long-term,Semi-furnished,Yes,Yes,Day Scholar
Vivaan_234,12000,Long-term,Semi-furnished,Occasionally,No,Day Scholar
Meera_368,5000,Long-term,Unfurnished,No,No,Day Scholar
Meera_154,25000,Short-term,Furnished,No,Occasionally,Day Scholar
Swati_20,20000,Long-term,Semi-furnished,No,No,Day Scholar
Aanya_262,12000,Long-term,Unfurnished,No,No,Night Owl
Swati_467,5000,Long-term,Unfurnished,No,Yes,Night Owl
Bhavya_6,25000,Long-term,Furnished,Yes,Yes,Day Scholar
Riya_259,20000,Short-term,Unfurnished,Yes,No,Night Owl
Arjun_187,15000,Long-term,Furnished,No,Occasionally,Night Owl
Simran_108,10000,Long-term,Semi-furnished,No,Occasionally,Night Owl
Kabir_24,25000,Short-term,Unfurnished,Yes,No,Night Owl
Rohan_240,12000,Short-term,Furnished,Occasionally,Occasionally,Night Owl
Krishna_446,15000,Short-term,Semi-furnished,Occasionally,No,Day Scholar
Pooja_360,15000,Short-term,Furnished,Yes,No,Day Scholar
Ishita_159,10000,Short-term,Unfurnished,Occasionally,Yes,Night Owl
Aarav_383,7000,Long-term,Furnished,Occasionally,No,Night Owl
Meera_65,15000,Short-term,Unfurnished,Yes,No,Night Owl
Avni_240,7000,Long-term,Furnished,Occasionally,Occasionally,Night Owl
Arjun_476,7000,Long-term,Furnished,No,Yes,Night Owl
Sneha_416,10000,Short-term,Unfurnished,Occasionally,Occasionally,Day Scholar
Preeti_14,12000,Long-term,Furnished,Occasionally,Occasionally,Night Owl
Aryan_148,5000,Long-term,Unfurnished,Occasionally,Occasionally,Day Scholar
Pooja_160,10000,Long-term,Unfurnished,Yes,Occasionally,Night Owl
Sarita_274,20000,Long-term,Semi-furnished,No,No,Day Scholar
Sarita_298,10000,Long-term,Semi-furnished,Occasionally,Yes,Day Scholar
Preeti_316,12000,Long-term,Unfurnished,Yes,No,Night Owl
Tanya_489,10000,Short-term,Semi-furnished,Yes,Occasionally,Day Scholar
Saanvi_252,12000,Long-term,Semi-furnished,Occasionally,No,Day Scholar
Preeti_35,25000,Long-term,Furnished,Yes,Yes,Night Owl
Divya_216,7000,Short-term,Furnished,Occasionally,No,Day Scholar
Aryan_185,25000,Long-term,Unfurnished,Occasionally,No,Day Scholar
Pallavi_311,7000,Long-term,Unfurnished,Yes,No,Day Scholar
Riya_147,20000,Short-term,Furnished,Occasionally,Yes,Day Scholar
Siddharth_196,15000,Long-term,Semi-furnished,Yes,No,Day Scholar
Simran_331,25000,Short-term,Unfurnished,Yes,Occasionally,Night Owl
Sarita_49,12000,Long-term,Semi-furnished,No,Occasionally,Night Owl
Pooja_496,12000,Short-term,Furnished,Occasionally,Occasionally,Day Scholar
Aanya_473,20000,Short-term,Furnished,Occasionally,Occasionally,Day Scholar
Rekha_114,10000,Short-term,Semi-furnished,Occasionally,No,Day Scholar
Preeti_66,10000,Long-term,Semi-furnished,No,Occasionally,Day Scholar
Ishita_31,20000,Long-term,Unfurnished,Occasionally,Yes,Day Scholar
Vihaan_473,12000,Long-term,Furnished,Yes,No,Night Owl
Aarav_352,15000,Short-term,Furnished,Yes,Occasionally,Day Scholar
Ishita_307,12000,Long-term,Semi-furnished,Yes,Yes,Day Scholar
Ishita_176,12000,Long-term,Furnished,No,Occasionally,Day Scholar
Meera_488,12000,Short-term,Furnished,Yes,No,Night Owl
Riya_200,20000,Short-term,Semi-furnished,Occasionally,Yes,Day Scholar
Saanvi_92,5000,Long-term,Furnished,No,Yes,Day Scholar
Ananya_318,10000,Short-term,Semi-furnished,Occasionally,Yes,Night Owl
Priya_445,15000,Short-term,Unfurnished,Yes,No,Night Owl
Manish_130,12000,Short-term,Unfurnished,No,Yes,Night Owl
Rohan_472,20000,Long-term,Furnished,Occasionally,Occasionally,Day Scholar
Aditya_135,10000,Short-term,Semi-furnished,Occasionally,Yes,Night Owl
Vivaan_445,12000,Long-term,Furnished,Yes,Yes,Night Owl
Riya_439,10000,Long-term,Semi-furnished,No,Yes,Day Scholar
Rohan_413,10000,Long-term,Furnished,Occasionally,Yes,Day Scholar
Krishna_248,25000,Short-term,Furnished,Occasionally,Yes,Night Owl
Manish_301,20000,Long-term,Unfurnished,No,Yes,Day Scholar
Vivaan_331,25000,Long-term,Semi-furnished,Occasionally,No,Night Owl
Rohan_14,12000,Long-term,Unfurnished,Occasionally,No,Day Scholar
Arjun_139,25000,Long-term,Unfurnished,Yes,No,Day Scholar
Rahul_308,5000,Short-term,Furnished,No,No,Day Scholar
Ishita_48,5000,Long-term,Semi-furnished,Occasionally,No,Day Scholar
Manish_440,12000,Short-term,Unfurnished,Yes,Yes,Night Owl
Rekha_461,15000,Long-term,Unfurnished,No,Yes,Night Owl
Aniket_328,20000,Long-term,Semi-furnished,Occasionally,No,Night Owl
Neha_77,12000,Long-term,Unfurnished,Occasionally,Occasionally,Night Owl
Bhavya_364,10000,Short-term,Semi-furnished,Yes,Occasionally,Night Owl
Riya_381,5000,Short-term,Semi-furnished,No,Occasionally,Day Scholar
Vivaan_282,25000,Long-term,Unfurnished,Yes,Occasionally,Day Scholar
Krishna_424,5000,Short-term,Furnished,Occasionally,Yes,Night Owl
Simran_316,25000,Long-term,Furnished,Yes,Occasionally,Night Owl
Tanya_156,20000,Long-term,Furnished,Occasionally,Yes,Night Owl
Aryan_120,25000,Long-term,Unfurnished,No,Occasionally,Night Owl
Avni_111,10000,Short-term,Furnished,Yes,Yes,Night Owl
Ananya_280,20000,Short-term,Unfurnished,Yes,Yes,Night Owl
Manish_179,15000,Short-term,Furnished,Yes,No,Night Owl
Manish_338,12000,Long-term,Unfurnished,Yes,Occasionally,Day Scholar
Kabir_171,15000,Short-term,Unfurnished,Occasionally,Occasionally,Night Owl
Meera_361,25000,Short-term,Semi-furnished,Yes,Yes,Day Scholar
Vikram_115,7000,Long-term,Unfurnished,Yes,Occasionally,Night Owl
Siddharth_7,7000,Long-term,Unfurnished,Occasionally,No,Day Scholar
Bhavya_101,10000,Short-term,Semi-furnished,Occasionally,No,Day Scholar
Pooja_476,10000,Short-term,Furnished,Yes,Yes,Night Owl
Rahul_38,7000,Long-term,Unfurnished,Yes,Yes,Day Scholar
Tanya_225,20000,Short-term,Semi-furnished,Yes,Yes,Day Scholar
Aarav_326,10000,Long-term,Unfurnished,Occasionally,Occasionally,Day Scholar
Arjun_206,12000,Long-term,Unfurnished,Occasionally,No,Night Owl
Preeti_19,10000,Short-term,Semi-furnished,No,Yes,Day Scholar
Kabir_156,12000,Long-term,Unfurnished,No,Yes,Day Scholar
Rekha_168,25000,Short-term,Semi-furnished,No,Yes,Night Owl
Rahul_343,12000,Short-term,Unfurnished,Yes,No,Night Owl
Priya_71,20000,Long-term,Unfurnished,Occasionally,No,Day Scholar
Tanya_425,5000,Long-term,Semi-furnished,Occasionally,Yes,Day Scholar
Vihaan_190,7000,Long-term,Semi-furnished,Yes,No,Night Owl
Bhavya_399,25000,Long-term,Furnished,Yes,Yes,Night Owl
Gaurav_288,25000,Long-term,Unfurnished,No,No,Night Owl
Arjun_177,12000,Long-term,Semi-furnished,No,Occasionally,Night Owl
Gaurav_443,10000,Short-term,Semi-furnished,Yes,Occasionally,Day Scholar
Manish_410,5000,Short-term,Furnished,Yes,Occasionally,Day Scholar
Siddharth_314,15000,Short-term,Semi-furnished,Occasionally,Occasionally,Night Owl
Krishna_189,12000,Long-term,Unfurnished,No,Yes,Day Scholar
Bhavya_415,10000,Long-term,Semi-furnished,No,Yes,Day Scholar
Vihaan_368,25000,Short-term,Semi-furnished,No,Occasionally,Day Scholar
Krishna_394,5000,Long-term,Unfurnished,No,Occasionally,Day Scholar
Riya_335,20000,Long-term,Furnished,Occasionally,Yes,Day Scholar
Aryan_484,15000,Short-term,Semi-furnished,No,No,Night Owl
Rajesh_245,15000,Long-term,Unfurnished,Occasionally,No,Night Owl
Rohan_7,15000,Short-term,Unfurnished,Yes,No,Day Scholar
Rohan_85,7000,Long-term,Unfurnished,No,Occasionally,Day Scholar
Rahul_182,15000,Short-term,Furnished,Yes,Yes,Night Owl
Kavya_386,12000,Long-term,Unfurnished,No,Yes,Day Scholar
Riya_285,15000,Short-term,Semi-furnished,No,Yes,Night Owl
Aarav_36,25000,Short-term,Semi-furnished,Occasionally,Occasionally,Day Scholar
Aryan_441,12000,Long-term,Unfurnished,No,Occasionally,Day Scholar
Yash_277,15000,Long-term,Semi-furnished,Yes,Occasionally,Night Owl
Manish_214,12000,Long-term,Unfurnished,No,Yes,Night Owl
Siddharth_147,12000,Long-term,Semi-furnished,Occasionally,No,Day Scholar
Simran_499,20000,Short-term,Unfurnished,Occasionally,No,Night Owl
Rohan_460,5000,Long-term,Furnished,No,Occasionally,Day Scholar
Kavya_146,12000,Short-term,Furnished,Occasionally,No,Day Scholar
Kabir_385,10000,Short-term,Unfurnished,Occasionally,No,Day Scholar
Meera_63,25000,Short-term,Unfurnished,Occasionally,No,Night Owl
Ananya_494,7000,Long-term,Furnished,Occasionally,Yes,Night Owl
Saanvi_260,12000,Long-term,Semi-furnished,No,No,Night Owl
Manish_53,7000,Short-term,Semi-furnished,Yes,Yes,Night Owl
Tanya_412,20000,Long-term,Unfurnished,Yes,Occasionally,Night Owl
Divya_416,12000,Long-term,Unfurnished,Occasionally,No,Night Owl
Kabir_337,15000,Long-term,Unfurnished,No,No,Night Owl
Aniket_351,15000,Long-term,Unfurnished,Yes,No,Night Owl
Aryan_90,12000,Short-term,Furnished,Occasionally,Occasionally,Night Owl
Neha_132,10000,Long-term,Furnished,Occasionally,Yes,Day Scholar
Rahul_89,25000,Long-term,Furnished,Occasionally,No,Day Scholar
Pooja_273,12000,Long-term,Unfurnished,Yes,No,Night Owl
Arjun_396,12000,Long-term,Furnished,Yes,Occasionally,Day Scholar
Yash_100,20000,Long-term,Unfurnished,Yes,Yes,Night Owl
Priya_434,7000,Short-term,Furnished,Yes,Yes,Night Owl
Divya_44,7000,Long-term,Furnished,Occasionally,Yes,Day Scholar
Arjun_295,20000,Short-term,Unfurnished,Occasionally,Occasionally,Day Scholar
Siddharth_126,12000,Long-term,Semi-furnished,Occasionally,No,Night Owl
Neha_232,5000,Long-term,Furnished,Occasionally,No,Night Owl
Vivaan_13,10000,Short-term,Furnished,Occasionally,Yes,Night Owl
Tanya_334,25000,Short-term,Semi-furnished,Yes,Occasionally,Night Owl
Vihaan_159,25000,Long-term,Furnished,Yes,Yes,Day Scholar
Vihaan_409,20000,Short-term,Furnished,Yes,Occasionally,Night Owl
Pooja_261,12000,Short-term,Unfurnished,Occasionally,No,Day Scholar
Tanya_177,25000,Short-term,Unfurnished,No,No,Night Owl
Saanvi_229,5000,Short-term,Semi-furnished,Occasionally,No,Day Scholar
Kabir_234,20000,Short-term,Semi-furnished,Yes,Occasionally,Day Scholar
Aniket_102,12000,Long-term,Unfurnished,Occasionally,Occasionally,Day Scholar
Rohan_201,15000,Short-term,Semi-furnished,Occasionally,Occasionally,Night Owl
Ishita_230,10000,Long-term,Semi-furnished,Yes,No,Day Scholar
Rajesh_483,5000,Short-term,Unfurnished,Yes,No,Day Scholar
Vihaan_247,20000,Long-term,Furnished,No,No,Day Scholar
Avni_191,10000,Short-term,Furnished,No,Occasionally,Night Owl
Rajesh_103,12000,Long-term,Furnished,No,No,Day Scholar
Aarav_476,20000,Long-term,Unfurnished,No,Yes,Day Scholar
Kavya_325,20000,Short-term,Semi-furnished,No,Yes,Night Owl
Aniket_65,7000,Long-term,Unfurnished,Yes,Occasionally,Day Scholar
Avni_217,5000,Short-term,Unfurnished,Yes,Yes,Day Scholar
Pallavi_73,7000,Long-term,Unfurnished,No,No,Night Owl
Ishaan_428,10000,Long-term,Furnished,No,Occasionally,Night Owl
Kavya_444,12000,Long-term,Unfurnished,Yes,Occasionally,Day Scholar
Rajesh_317,15000,Long-term,Unfurnished,No,No,Day Scholar
Vivaan_228,15000,Short-term,Furnished,No,Yes,Night Owl
Yash_338,12000,Short-term,Furnished,No,No,Day Scholar
Yash_85,25000,Long-term,Unfurnished,Occasionally,Yes,Night Owl
Pallavi_197,12000,Long-term,Furnished,Yes,Yes,Night Owl
Ananya_112,12000,Short-term,Furnished,No,No,Night Owl
Aanya_386,12000,Short-term,Furnished,Occasionally,No,Day Scholar
Siddharth_461,20000,Short-term,Furnished,Occasionally,Yes,Night Owl
Aarav_255,25000,Long-term,Unfurnished,Occasionally,Occasionally,Night Owl
Aniket_252,25000,Short-term,Semi-furnished,Occasionally,No,Day Scholar
Kavya_460,5000,Long-term,Unfurnished,Occasionally,Yes,Night Owl
Kabir_277,5000,Long-term,Furnished,No,No,Night Owl
Riya_472,20000,Long-term,Semi-furnished,Yes,No,Night Owl
Sarita_276,15000,Short-term,Semi-furnished,No,No,Day Scholar
Krishna_123,10000,Short-term,Unfurnished,Yes,Yes,Day Scholar
Gaurav_363,7000,Long-term,Furnished,No,Occasionally,Night Owl
Kavya_125,25000,Long-term,Unfurnished,Occasionally,Occasionally,Night Owl
Bhavya_191,25000,Short-term,Unfurnished,No,Occasionally,Day Scholar
Aniket_56,12000,Long-term,Furnished,Yes,Yes,Day Scholar
Rajesh_106,25000,Long-term,Furnished,No,Yes,Day Scholar
Riya_402,25000,Short-term,Furnished,Yes,Yes,Night Owl
Preeti_120,20000,Long-term,Semi-furnished,Yes,Yes,Day Scholar
Ananya_462,7000,Short-term,Unfurnished,Yes,Yes,Day Scholar
Divya_378,15000,Long-term,Unfurnished,Occasionally,No,Day Scholar
Nisha_326,15000,Short-term,Unfurnished,Yes,Occasionally,Day Scholar
Divya_487,20000,Short-term,Unfurnished,Yes,Yes,Day Scholar
Vihaan_201,12000,Short-term,Unfurnished,Occasionally,No,Day Scholar
Manish_455,12000,Long-term,Unfurnished,No,Yes,Night Owl
Aditya_55,5000,Short-term,Semi-furnished,Occasionally,Yes,Night Owl
Aniket_206,15000,Short-term,Furnished,Occasionally,No,Day Scholar
Swati_403,7000,Short-term,Furnished,Yes,Occasionally,Day Scholar
Rekha_179,12000,Long-term,Semi-furnished,No,Occasionally,Day Scholar
Aanya_39,25000,Long-term,Semi-furnished,Occasionally,Occasionally,Night Owl
Bhavya_19,20000,Short-term,Furnished,No,Occasionally,Day Scholar
Pooja_344,5000,Long-term,Unfurnished,Occasionally,Yes,Night Owl
Ishaan_438,20000,Short-term,Furnished,Yes,Occasionally,Day Scholar
Divya_188,7000,Short-term,Semi-furnished,Occasionally,Occasionally,Night Owl
Pallavi_155,20000,Short-term,Semi-furnished,No,Yes,Night Owl
Rohan_500,15000,Long-term,Furnished,Occasionally,Occasionally,Night Owl
Nisha_302,12000,Long-term,Unfurnished,No,Yes,Day Scholar
Bhavya_382,10000,Long-term,Semi-furnished,No,No,Night Owl
Vikram_52,10000,Long-term,Unfurnished,Yes,Yes,Day Scholar
Aarav_183,15000,Long-term,Unfurnished,No,Occasionally,Day Scholar
Preeti_37,7000,Short-term,Unfurnished,Occasionally,Yes,Night Owl
Sarita_74,15000,Short-term,Furnished,Occasionally,No,Night Owl
Avni_33,5000,Long-term,Semi-furnished,Yes,Yes,Day Scholar
Aditya_349,12000,Long-term,Unfurnished,Occasionally,Yes,Night Owl
Avni_146,12000,Short-term,Furnished,No,No,Day Scholar
Rahul_165,20000,Long-term,Semi-furnished,No,No,Night Owl
Neha_293,20000,Short-term,Unfurnished,Occasionally,Occasionally,Night Owl
Simran_124,12000,Long-term,Unfurnished,Yes,No,Night Owl
Krishna_110,25000,Long-term,Furnished,Occasionally,No,Night Owl
Aanya_146,25000,Short-term,Furnished,Yes,Yes,Day Scholar
Simran_488,15000,Long-term,Semi-furnished,No,Yes,Night Owl
Vihaan_10,12000,Short-term,Unfurnished,No,Occasionally,Night Owl
Aniket_271,10000,Short-term,Furnished,Occasionally,Occasionally,Day Scholar
Rahul_479,20000,Long-term,Semi-furnished,No,Yes,Night Owl
Manish_463,15000,Long-term,Semi-furnished,No,Yes,Night Owl
Nisha_402,7000,Short-term,Unfurnished,Yes,No,Night Owl
Bhavya_386,7000,Long-term,Furnished,No,Yes,Day Scholar
Kabir_363,25000,Long-term,Semi-furnished,No,No,Night Owl
Pooja_468,25000,Short-term,Furnished,No,Occasionally,Day Scholar
Vihaan_263,12000,Short-term,Semi-furnished,Occasionally,No,Night Owl
Pallavi_193,20000,Short-term,Furnished,Yes,No,Night Owl
Siddharth_196,10000,Long-term,Furnished,No,No,Night Owl
Kabir_407,12000,Long-term,Unfurnished,No,No,Day Scholar
Krishna_222,12000,Long-term,Semi-furnished,No,Occasionally,Day Scholar
Saanvi_166,15000,Long-term,Semi-furnished,Yes,No,Day Scholar
Pooja_491,7000,Long-term,Semi-furnished,No,Yes,Night Owl
Vivaan_347,7000,Short-term,Semi-furnished,Yes,Occasionally,Night Owl
Sneha_245,20000,Short-term,Semi-furnished,No,Occasionally,Night Owl
Rekha_358,20000,Long-term,Semi-furnished,Yes,Occasionally,Night Owl
Divya_409,20000,Long-term,Semi-furnished,No,Yes,Day Scholar
Vivaan_250,10000,Long-term,Unfurnished,Occasionally,No,Day Scholar
Simran_43,7000,Short-term,Semi-furnished,No,No,Day Scholar
Aryan_68,10000,Short-term,Unfurnished,Yes,Occasionally,Night Owl
Arjun_74,5000,Short-term,Semi-furnished,Occasionally,Occasionally,Night Owl
Aarav_271,15000,Long-term,Semi-furnished,No,No,Night Owl
Ishaan_127,5000,Short-term,Furnished,No,Yes,Day Scholar
Tanya_446,25000,Long-term,Semi-furnished,No,No,Day Scholar
Aniket_54,5000,Short-term,Furnished,No,Yes,Night Owl
Aanya_492,25000,Long-term,Unfurnished,Yes,No,Night Owl
Aarav_288,7000,Long-term,Furnished,No,No,Night Owl
Neha_184,15000,Short-term,Furnished,Occasionally,No,Day Scholar
Vikram_136,25000,Long-term,Unfurnished,Occasionally,No,Day Scholar
Pooja_58,20000,Short-term,Unfurnished,Occasionally,No,Night Owl
Pallavi_17,15000,Short-term,Semi-furnished,No,Occasionally,Day Scholar
Vikram_124,20000,Short-term,Furnished,Yes,Yes,Day Scholar
Aniket_73,7000,Short-term,Semi-furnished,Occasionally,Occasionally,Day Scholar
Nisha_160,12000,Short-term,Furnished,Occasionally,Yes,Day Scholar
Saanvi_59,10000,Short-term,Semi-furnished,Yes,Occasionally,Day Scholar
Ananya_379,20000,Long-term,Semi-furnished,Occasionally,Yes,Day Scholar
Swati_167,10000,Long-term,Unfurnished,Occasionally,Yes,Day Scholar
Rekha_327,5000,Short-term,Unfurnished,Occasionally,No,Day Scholar
Krishna_495,12000,Long-term,Semi-furnished,Yes,Yes,Day Scholar
Aditya_100,7000,Long-term,Semi-furnished,No,No,Day Scholar
Vikram_177,25000,Short-term,Unfurnished,Yes,Yes,Night Owl
Vihaan_160,12000,Short-term,Unfurnished,Occasionally,No,Night Owl
Bhavya_290,10000,Short-term,Furnished,Yes,Occasionally,Night Owl
Ananya_37,20000,Short-term,Furnished,No,Yes,Day Scholar
Rajesh_245,25000,Long-term,Semi-furnished,Yes,No,Day Scholar
Aarav_159,10000,Long-term,Furnished,Occasionally,Yes,Night Owl
Vikram_421,5000,Short-term,Furnished,Occasionally,Occasionally,Night Owl
Tanya_429,10000,Short-term,Unfurnished,Yes,Occasionally,Night Owl
Bhavya_260,15000,Long-term,Unfurnished,No,Occasionally,Day Scholar
Saanvi_238,25000,Long-term,Unfurnished,No,Yes,Night Owl
Neha_189,10000,Short-term,Furnished,Yes,Occasionally,Day Scholar
Swati_489,25000,Short-term,Semi-furnished,Yes,No,Night Owl
Riya_107,10000,Long-term,Furnished,Occasionally,Yes,Day Scholar
Pallavi_189,25000,Short-term,Furnished,No,Yes,Night Owl
Aditya_215,15000,Short-term,Furnished,Occasionally,No,Day Scholar
Gaurav_426,5000,Long-term,Furnished,Occasionally,Yes,Day Scholar
Aryan_281,15000,Short-term,Furnished,No,Yes,Night Owl
Ananya_52,20000,Long-term,Unfurnished,Occasionally,Yes,Night Owl
