Name,Age,Occupation,Gender,Location,Room Type,Hostel Availability,Rating
Comfort Inn Inn,26,Business Owner,Other,Ahmedabad,Shared,Yes,1
Safe Haven Inn,36,Artist,Male,Mumbai,Shared,No,2
The Urban Nest Stay,20,Teacher,Male,Delhi,Dormitory,Yes,1
Urban Habitat Residency,35,Freelancer,Female,Chennai,Shared,No,2
Urban Habitat Lodge,30,Doctor,Female,Ahmedabad,Shared,Yes,5
Golden Acres PG Stay,41,Doctor,Female,Pune,Dormitory,Yes,5
Happy Homes Residency,23,Student,Female,Pune,Shared,No,5
City Comforts Lodge,36,Teacher,Other,Ahmedabad,Shared,Yes,5
Lotus Living Inn,37,Software Engineer,Other,Ahmedabad,Single,No,2
Serene Stay Residency,30,Student,Male,Mumbai,Shared,Yes,3
Maple PG Lodge,34,Teacher,Male,Hyderabad,Shared,Yes,1
Blue Sky PG Living,45,Business Owner,Female,Pune,Single,No,1
Maple PG Inn,23,Software Engineer,Other,Chennai,Shared,No,3
Tranquil Residency Inn,27,Freelancer,Other,Bangalore,Shared,No,1
Elite Stay Lodge,28,Student,Female,Ahmedabad,Shared,Yes,3
Tranquil Residency Inn,25,Student,Female,Ahmedabad,Dormitory,Yes,3
Safe Haven Residency,37,Student,Male,Delhi,Dormitory,Yes,1
Safe Haven Living,32,Freelancer,Female,Mumbai,Shared,Yes,4
Metro Living Inn,22,Artist,Male,Hyderabad,Single,No,5
Safe Haven Residency,20,Artist,Female,Kolkata,Single,No,5
Maple PG Lodge,24,Software Engineer,Other,Pune,Shared,No,5
Maple PG Residency,39,Business Owner,Female,Kolkata,Shared,No,2
Greenwood PG Lodge,29,Student,Male,Delhi,Shared,Yes,3
Serene Stay Inn,26,Student,Male,Bangalore,Single,No,1
Greenwood PG Living,36,Freelancer,Other,Ahmedabad,Dormitory,Yes,3
Pearl Residency Inn,38,Doctor,Male,Ahmedabad,Dormitory,Yes,5
Urban Habitat Lodge,40,Student,Other,Mumbai,Dormitory,No,2
Lotus Living Lodge,25,Doctor,Other,Ahmedabad,Shared,Yes,4
Serene Stay Residency,20,Student,Female,Delhi,Dormitory,No,4
Harmony Living Inn,32,Business Owner,Male,Mumbai,Dormitory,Yes,1
City Comforts Lodge,35,Teacher,Male,Chennai,Dormitory,No,4
Tranquil Residency Inn,39,Freelancer,Male,Pune,Dormitory,Yes,1
Pearl Residency Stay,19,Doctor,Other,Chennai,Single,Yes,4
Greenwood PG Residency,32,Artist,Female,Pune,Dormitory,No,2
Cozy Nest Stay,19,Artist,Female,Ahmedabad,Single,Yes,5
Lotus Living Residency,24,Teacher,Male,Mumbai,Dormitory,No,4
Serene Stay Residency,36,Artist,Female,Delhi,Shared,Yes,3
Elite Stay Lodge,44,Artist,Female,Ahmedabad,Shared,No,1
Maple PG Lodge,18,Software Engineer,Other,Ahmedabad,Shared,Yes,4
Royal Residency Living,23,Artist,Other,Hyderabad,Dormitory,No,1
Skyline PG Lodge,36,Teacher,Female,Chennai,Shared,No,1
The Urban Nest Stay,24,Business Owner,Female,Hyderabad,Dormitory,No,2
Happy Homes Inn,43,Teacher,Male,Kolkata,Single,No,5
Skyline PG Lodge,37,Teacher,Female,Chennai,Single,No,5
Serene Stay Residency,38,Doctor,Other,Ahmedabad,Dormitory,Yes,3
Greenwood PG Inn,30,Doctor,Female,Kolkata,Shared,Yes,5
City Comforts Lodge,37,Teacher,Male,Bangalore,Shared,No,3
Blue Sky PG Inn,21,Freelancer,Other,Delhi,Shared,Yes,5
Happy Homes Stay,26,Student,Female,Kolkata,Shared,Yes,2
Lotus Living Inn,29,Software Engineer,Other,Delhi,Shared,No,1
Skyline PG Inn,25,Doctor,Other,Mumbai,Dormitory,No,2
Metro Living Stay,18,Teacher,Other,Hyderabad,Single,Yes,4
Cozy Nest Lodge,23,Doctor,Male,Bangalore,Dormitory,No,3
City Comforts Living,38,Software Engineer,Female,Chennai,Single,Yes,5
Smart Stay Inn,28,Student,Male,Pune,Dormitory,Yes,2
Golden Acres PG Residency,41,Software Engineer,Male,Chennai,Single,No,2
The Urban Nest Stay,31,Freelancer,Female,Mumbai,Dormitory,Yes,3
Blue Sky PG Lodge,23,Business Owner,Male,Delhi,Single,No,1
Lotus Living Inn,26,Student,Male,Chennai,Single,No,1
Comfort Inn Lodge,19,Freelancer,Female,Hyderabad,Single,Yes,1
Lotus Living Living,40,Doctor,Male,Ahmedabad,Shared,Yes,5
City Comforts Lodge,19,Teacher,Female,Kolkata,Single,No,5
Sunrise PG Residency,39,Artist,Other,Hyderabad,Dormitory,Yes,1
Elite Stay Lodge,28,Teacher,Male,Chennai,Dormitory,Yes,2
Serene Stay Living,36,Software Engineer,Male,Chennai,Single,Yes,5
Serene Stay Living,42,Teacher,Male,Mumbai,Dormitory,Yes,2
Tranquil Residency Stay,23,Software Engineer,Male,Mumbai,Shared,No,4
Skyline PG Inn,41,Business Owner,Female,Bangalore,Single,Yes,2
Cozy Nest Stay,44,Business Owner,Other,Delhi,Single,Yes,4
Royal Residency Living,41,Doctor,Female,Kolkata,Shared,No,5
Happy Homes Residency,36,Software Engineer,Female,Delhi,Single,No,5
Blue Sky PG Inn,37,Doctor,Male,Mumbai,Shared,Yes,3
Pearl Residency Residency,40,Artist,Female,Delhi,Shared,No,5
Harmony Living Lodge,36,Business Owner,Male,Delhi,Dormitory,Yes,3
Cozy Nest Stay,22,Business Owner,Female,Mumbai,Single,No,4
Urban Habitat Lodge,34,Business Owner,Male,Kolkata,Dormitory,Yes,2
The Urban Nest Stay,34,Business Owner,Male,Hyderabad,Dormitory,No,2
Happy Homes Inn,23,Artist,Other,Mumbai,Dormitory,Yes,2
Tranquil Residency Residency,21,Artist,Male,Ahmedabad,Shared,No,3
Metro Living Lodge,39,Teacher,Other,Ahmedabad,Dormitory,Yes,5
Infinity PG Residency,33,Student,Female,Mumbai,Dormitory,No,5
Blue Sky PG Stay,22,Software Engineer,Male,Mumbai,Shared,No,2
Lotus Living Stay,30,Student,Male,Kolkata,Dormitory,Yes,5
The Urban Nest Lodge,27,Student,Female,Ahmedabad,Dormitory,No,4
Pearl Residency Lodge,40,Doctor,Male,Mumbai,Dormitory,No,5
Serene Stay Residency,31,Doctor,Other,Kolkata,Single,Yes,1
Golden Acres PG Living,36,Business Owner,Female,Delhi,Single,Yes,1
Smart Stay Stay,27,Freelancer,Other,Hyderabad,Shared,No,5
Metro Living Inn,26,Business Owner,Male,Mumbai,Dormitory,No,2
Infinity PG Residency,30,Teacher,Female,Ahmedabad,Single,No,1
Harmony Living Stay,22,Teacher,Female,Chennai,Dormitory,Yes,1
Infinity PG Living,29,Business Owner,Other,Kolkata,Single,No,1
Comfort Inn Lodge,40,Student,Female,Kolkata,Shared,Yes,1
NestAway PG Living,40,Artist,Female,Pune,Single,No,4
Golden Acres PG Living,21,Business Owner,Female,Mumbai,Shared,Yes,5
Cozy Nest Inn,34,Freelancer,Other,Ahmedabad,Dormitory,No,3
Urban Habitat Residency,43,Business Owner,Other,Kolkata,Shared,No,1
Skyline PG Inn,44,Artist,Other,Mumbai,Single,Yes,4
Tranquil Residency Lodge,37,Business Owner,Other,Hyderabad,Dormitory,Yes,5
Maple PG Inn,37,Artist,Female,Hyderabad,Shared,Yes,1
The Urban Nest Inn,35,Student,Other,Chennai,Dormitory,Yes,4
Lotus Living Living,31,Business Owner,Female,Delhi,Dormitory,Yes,4
Golden Acres PG Living,19,Teacher,Other,Mumbai,Shared,No,1
Royal Residency Lodge,18,Teacher,Female,Bangalore,Single,Yes,4
Skyline PG Residency,35,Doctor,Other,Hyderabad,Dormitory,Yes,5
Happy Homes Inn,37,Software Engineer,Female,Ahmedabad,Dormitory,Yes,5
Safe Haven Residency,43,Business Owner,Male,Hyderabad,Single,No,5
NestAway PG Residency,25,Freelancer,Other,Bangalore,Single,No,4
Comfort Inn Stay,29,Business Owner,Female,Pune,Single,Yes,5
Happy Homes Residency,32,Artist,Female,Pune,Dormitory,No,3
Maple PG Stay,34,Software Engineer,Other,Bangalore,Single,Yes,1
Tranquil Residency Residency,30,Freelancer,Female,Delhi,Shared,No,4
Infinity PG Residency,33,Artist,Other,Mumbai,Single,Yes,2
Smart Stay Living,40,Software Engineer,Other,Hyderabad,Dormitory,No,2
Sunrise PG Living,28,Software Engineer,Other,Delhi,Dormitory,No,5
Sunrise PG Lodge,34,Doctor,Male,Pune,Shared,Yes,3
The Urban Nest Living,36,Teacher,Male,Delhi,Dormitory,Yes,5
Smart Stay Residency,37,Software Engineer,Other,Mumbai,Single,No,1
NestAway PG Living,28,Software Engineer,Female,Mumbai,Shared,Yes,5
Metro Living Lodge,22,Freelancer,Male,Hyderabad,Shared,No,1
Happy Homes Stay,19,Software Engineer,Male,Pune,Single,No,3
Pearl Residency Residency,39,Artist,Other,Pune,Shared,No,3
Harmony Living Residency,20,Student,Female,Chennai,Dormitory,No,2
Greenwood PG Stay,29,Software Engineer,Male,Pune,Single,No,5
Tranquil Residency Residency,19,Software Engineer,Male,Chennai,Single,No,4
Happy Homes Inn,31,Freelancer,Male,Mumbai,Single,No,4
Comfort Inn Stay,36,Software Engineer,Other,Hyderabad,Single,No,5
Harmony Living Inn,21,Software Engineer,Female,Kolkata,Dormitory,No,1
Sunrise PG Residency,39,Artist,Female,Pune,Dormitory,Yes,2
Lotus Living Lodge,37,Freelancer,Other,Bangalore,Shared,No,5
Comfort Inn Residency,27,Business Owner,Male,Hyderabad,Dormitory,Yes,1
NestAway PG Living,27,Student,Female,Bangalore,Single,Yes,3
Elite Stay Lodge,42,Doctor,Other,Mumbai,Dormitory,No,2
Pearl Residency Lodge,18,Teacher,Female,Bangalore,Shared,No,4
Elite Stay Residency,41,Software Engineer,Female,Hyderabad,Shared,Yes,4
Infinity PG Stay,36,Business Owner,Female,Mumbai,Dormitory,Yes,2
Harmony Living Stay,18,Artist,Female,Ahmedabad,Shared,No,2
Maple PG Lodge,42,Student,Male,Chennai,Dormitory,Yes,4
Safe Haven Lodge,38,Software Engineer,Male,Hyderabad,Shared,Yes,2
Pearl Residency Living,38,Student,Male,Hyderabad,Single,No,4
Pearl Residency Inn,45,Business Owner,Male,Chennai,Dormitory,Yes,5
Serene Stay Inn,26,Business Owner,Female,Hyderabad,Single,No,2
Elite Stay Stay,41,Teacher,Other,Mumbai,Shared,No,2
Royal Residency Living,39,Doctor,Other,Kolkata,Single,No,2
Maple PG Residency,45,Doctor,Male,Kolkata,Shared,No,3
Pearl Residency Lodge,36,Business Owner,Female,Mumbai,Single,Yes,3
Metro Living Residency,25,Student,Other,Mumbai,Dormitory,Yes,5
Royal Residency Residency,34,Freelancer,Male,Pune,Dormitory,No,5
Comfort Inn Residency,27,Artist,Female,Pune,Dormitory,No,1
Comfort Inn Lodge,26,Freelancer,Other,Hyderabad,Shared,No,1
Urban Habitat Inn,26,Software Engineer,Female,Kolkata,Dormitory,No,2
Lotus Living Stay,44,Business Owner,Male,Mumbai,Single,No,2
Urban Habitat Inn,18,Student,Other,Hyderabad,Dormitory,Yes,2
Comfort Inn Residency,45,Business Owner,Female,Mumbai,Single,No,4
Urban Habitat Lodge,25,Student,Female,Kolkata,Shared,No,5
City Comforts Stay,36,Student,Other,Pune,Shared,Yes,1
Sunrise PG Living,31,Doctor,Female,Kolkata,Shared,No,5
Comfort Inn Lodge,38,Software Engineer,Other,Pune,Single,No,5
Royal Residency Lodge,30,Software Engineer,Other,Ahmedabad,Dormitory,Yes,4
Smart Stay Living,33,Artist,Male,Mumbai,Shared,No,4
Infinity PG Residency,23,Artist,Female,Hyderabad,Shared,Yes,5
Maple PG Lodge,30,Freelancer,Female,Ahmedabad,Dormitory,No,3
Royal Residency Stay,30,Doctor,Female,Mumbai,Single,No,5
Royal Residency Stay,32,Student,Female,Bangalore,Dormitory,No,1
Pearl Residency Stay,21,Business Owner,Female,Delhi,Shared,No,2
Happy Homes Stay,24,Freelancer,Other,Kolkata,Shared,No,3
Lotus Living Residency,24,Software Engineer,Other,Ahmedabad,Shared,No,4
Royal Residency Inn,38,Student,Other,Hyderabad,Single,No,4
Tranquil Residency Stay,37,Software Engineer,Other,Pune,Dormitory,Yes,2
Maple PG Stay,26,Teacher,Female,Ahmedabad,Single,Yes,2
City Comforts Lodge,21,Student,Male,Kolkata,Single,No,5
Greenwood PG Inn,37,Freelancer,Other,Ahmedabad,Dormitory,No,1
Infinity PG Lodge,35,Student,Male,Chennai,Shared,Yes,1
Pearl Residency Living,27,Doctor,Male,Pune,Shared,No,5
Skyline PG Stay,23,Teacher,Other,Mumbai,Shared,No,1
Blue Sky PG Residency,35,Teacher,Male,Kolkata,Single,Yes,4
Metro Living Stay,45,Freelancer,Female,Mumbai,Single,No,2
Pearl Residency Stay,38,Artist,Other,Bangalore,Dormitory,Yes,3
Skyline PG Inn,20,Software Engineer,Other,Kolkata,Single,No,1
Tranquil Residency Lodge,22,Artist,Female,Chennai,Dormitory,No,4
Tranquil Residency Stay,40,Teacher,Female,Hyderabad,Single,No,1
Harmony Living Inn,41,Doctor,Male,Chennai,Single,No,5
Cozy Nest Inn,25,Teacher,Male,Hyderabad,Single,No,5
Cozy Nest Residency,44,Student,Female,Hyderabad,Single,Yes,4
Harmony Living Lodge,44,Student,Male,Mumbai,Dormitory,No,2
Harmony Living Inn,22,Freelancer,Male,Hyderabad,Dormitory,No,4
Comfort Inn Stay,25,Teacher,Female,Hyderabad,Single,No,3
Royal Residency Lodge,40,Artist,Male,Pune,Single,No,3
City Comforts Inn,29,Artist,Male,Hyderabad,Dormitory,No,4
Serene Stay Lodge,19,Student,Female,Kolkata,Dormitory,Yes,3
Urban Habitat Living,29,Software Engineer,Male,Ahmedabad,Shared,No,3
Golden Acres PG Stay,18,Freelancer,Female,Ahmedabad,Dormitory,Yes,3
Urban Habitat Living,22,Doctor,Other,Kolkata,Shared,Yes,2
Cozy Nest Residency,38,Artist,Female,Mumbai,Single,No,3
Happy Homes Lodge,38,Student,Other,Hyderabad,Shared,Yes,2
Blue Sky PG Inn,22,Artist,Female,Hyderabad,Shared,Yes,3
Tranquil Residency Lodge,37,Software Engineer,Other,Ahmedabad,Dormitory,Yes,4
Lotus Living Stay,21,Freelancer,Female,Hyderabad,Dormitory,No,5
Elite Stay Lodge,30,Software Engineer,Other,Pune,Dormitory,No,4
Golden Acres PG Living,22,Freelancer,Female,Hyderabad,Single,No,3
Golden Acres PG Living,28,Student,Female,Chennai,Dormitory,No,3
Pearl Residency Stay,20,Freelancer,Male,Hyderabad,Single,No,3
Infinity PG Lodge,43,Teacher,Female,Pune,Dormitory,Yes,1
Safe Haven Residency,21,Teacher,Other,Mumbai,Shared,Yes,1
Elite Stay Inn,35,Freelancer,Female,Bangalore,Dormitory,Yes,3
Royal Residency Living,43,Freelancer,Male,Kolkata,Single,Yes,3
Smart Stay Lodge,30,Student,Other,Pune,Dormitory,No,5
Sunrise PG Residency,27,Doctor,Female,Chennai,Shared,Yes,1
Elite Stay Residency,45,Doctor,Other,Kolkata,Shared,Yes,1
Skyline PG Stay,36,Doctor,Female,Pune,Shared,No,5
Serene Stay Stay,33,Freelancer,Female,Delhi,Dormitory,No,4
Pearl Residency Living,32,Software Engineer,Other,Delhi,Shared,No,3
NestAway PG Residency,42,Student,Other,Bangalore,Single,No,2
Cozy Nest Residency,23,Freelancer,Other,Ahmedabad,Single,Yes,2
Serene Stay Living,39,Business Owner,Other,Hyderabad,Shared,Yes,1
Pearl Residency Living,20,Doctor,Male,Ahmedabad,Single,Yes,1
Tranquil Residency Stay,26,Student,Female,Chennai,Dormitory,No,4
Urban Habitat Lodge,35,Software Engineer,Female,Hyderabad,Dormitory,Yes,1
Comfort Inn Lodge,42,Doctor,Male,Mumbai,Dormitory,Yes,2
Pearl Residency Residency,41,Freelancer,Other,Kolkata,Shared,Yes,2
Golden Acres PG Inn,26,Student,Male,Kolkata,Dormitory,No,1
Comfort Inn Living,24,Student,Female,Pune,Shared,No,1
NestAway PG Lodge,35,Doctor,Other,Mumbai,Dormitory,Yes,3
Skyline PG Lodge,42,Student,Female,Pune,Dormitory,No,4
Cozy Nest Living,29,Freelancer,Other,Ahmedabad,Single,No,5
The Urban Nest Lodge,27,Software Engineer,Male,Chennai,Shared,No,5
Tranquil Residency Living,31,Freelancer,Male,Hyderabad,Shared,No,1
Royal Residency Lodge,18,Teacher,Female,Ahmedabad,Single,Yes,3
Royal Residency Living,19,Student,Other,Kolkata,Shared,No,2
Skyline PG Lodge,35,Business Owner,Female,Chennai,Dormitory,Yes,2
Blue Sky PG Living,29,Student,Female,Bangalore,Single,Yes,2
Metro Living Stay,41,Artist,Other,Pune,Dormitory,Yes,1
Comfort Inn Inn,19,Artist,Female,Delhi,Dormitory,Yes,4
Blue Sky PG Residency,41,Teacher,Female,Pune,Dormitory,Yes,2
Infinity PG Residency,43,Doctor,Other,Mumbai,Dormitory,No,2
Infinity PG Residency,39,Student,Female,Hyderabad,Single,Yes,5
Comfort Inn Living,18,Doctor,Male,Bangalore,Dormitory,No,4
Cozy Nest Residency,40,Doctor,Other,Pune,Dormitory,No,5
Comfort Inn Inn,34,Artist,Male,Delhi,Dormitory,Yes,2
Safe Haven Lodge,24,Freelancer,Female,Hyderabad,Shared,Yes,5
Serene Stay Living,33,Student,Male,Kolkata,Shared,No,2
Greenwood PG Residency,33,Software Engineer,Male,Kolkata,Shared,No,2
Cozy Nest Residency,22,Artist,Other,Bangalore,Dormitory,Yes,3
Infinity PG Inn,18,Artist,Female,Hyderabad,Single,Yes,5
Lotus Living Inn,25,Student,Female,Pune,Shared,No,2
Infinity PG Residency,37,Business Owner,Other,Kolkata,Dormitory,Yes,4
Tranquil Residency Residency,28,Student,Other,Ahmedabad,Single,No,2
Metro Living Inn,34,Business Owner,Female,Mumbai,Dormitory,Yes,5
Infinity PG Stay,24,Student,Male,Delhi,Single,Yes,5
The Urban Nest Inn,40,Business Owner,Male,Hyderabad,Dormitory,No,5
Cozy Nest Living,43,Artist,Other,Pune,Single,Yes,2
The Urban Nest Inn,22,Business Owner,Other,Pune,Shared,Yes,5
Cozy Nest Lodge,26,Artist,Female,Hyderabad,Shared,Yes,5
NestAway PG Residency,39,Freelancer,Other,Hyderabad,Shared,Yes,4
Maple PG Lodge,37,Student,Other,Hyderabad,Dormitory,No,4
Smart Stay Residency,28,Artist,Other,Bangalore,Dormitory,No,3
Serene Stay Residency,18,Artist,Female,Delhi,Dormitory,Yes,5
Metro Living Residency,24,Student,Female,Mumbai,Shared,Yes,5
Skyline PG Lodge,35,Artist,Other,Chennai,Dormitory,No,3
Elite Stay Inn,39,Doctor,Female,Mumbai,Dormitory,Yes,3
Royal Residency Stay,43,Teacher,Other,Kolkata,Shared,No,5
Pearl Residency Stay,29,Student,Female,Mumbai,Dormitory,No,3
NestAway PG Lodge,36,Student,Female,Chennai,Shared,Yes,3
Infinity PG Inn,40,Freelancer,Female,Hyderabad,Dormitory,Yes,1
City Comforts Residency,18,Software Engineer,Other,Hyderabad,Shared,No,5
Cozy Nest Residency,29,Teacher,Female,Chennai,Single,Yes,5
Comfort Inn Inn,43,Doctor,Male,Delhi,Dormitory,No,5
Greenwood PG Stay,44,Student,Other,Delhi,Dormitory,Yes,1
Cozy Nest Stay,41,Software Engineer,Other,Chennai,Dormitory,No,2
Maple PG Living,31,Freelancer,Other,Kolkata,Dormitory,Yes,2
Pearl Residency Inn,21,Freelancer,Other,Bangalore,Single,No,5
The Urban Nest Residency,24,Doctor,Other,Mumbai,Shared,No,3
Comfort Inn Stay,28,Artist,Other,Mumbai,Dormitory,Yes,1
Skyline PG Inn,29,Software Engineer,Female,Pune,Shared,Yes,1
Infinity PG Living,38,Freelancer,Other,Pune,Dormitory,Yes,5
NestAway PG Living,34,Business Owner,Other,Chennai,Dormitory,Yes,2
Lotus Living Living,40,Artist,Male,Mumbai,Shared,Yes,2
Maple PG Living,33,Student,Other,Mumbai,Shared,No,4
Golden Acres PG Living,43,Software Engineer,Female,Delhi,Single,No,3
Skyline PG Inn,34,Business Owner,Female,Bangalore,Single,Yes,1
Golden Acres PG Inn,39,Freelancer,Female,Chennai,Single,No,3
Safe Haven Residency,31,Doctor,Female,Delhi,Shared,Yes,3
Skyline PG Inn,22,Software Engineer,Male,Kolkata,Dormitory,No,3
Golden Acres PG Inn,25,Teacher,Female,Delhi,Dormitory,No,1
Greenwood PG Stay,43,Teacher,Female,Chennai,Dormitory,Yes,5
Metro Living Inn,38,Teacher,Other,Mumbai,Shared,Yes,1
Lotus Living Lodge,38,Teacher,Female,Chennai,Dormitory,Yes,1
Golden Acres PG Lodge,42,Freelancer,Female,Mumbai,Shared,No,4
The Urban Nest Living,25,Student,Other,Chennai,Dormitory,No,1
Blue Sky PG Residency,41,Student,Other,Ahmedabad,Shared,No,5
NestAway PG Residency,23,Student,Female,Pune,Shared,No,1
Maple PG Inn,22,Teacher,Other,Pune,Dormitory,Yes,1
Pearl Residency Lodge,33,Artist,Female,Pune,Single,No,3
Elite Stay Residency,44,Student,Male,Pune,Dormitory,No,5
Elite Stay Stay,26,Teacher,Female,Hyderabad,Single,Yes,2
Maple PG Inn,30,Software Engineer,Male,Pune,Single,Yes,3
City Comforts Stay,28,Artist,Male,Hyderabad,Single,Yes,5
Skyline PG Residency,43,Business Owner,Male,Chennai,Shared,No,1
Skyline PG Stay,45,Doctor,Male,Bangalore,Dormitory,No,3
Blue Sky PG Stay,22,Software Engineer,Other,Chennai,Shared,No,1
Skyline PG Living,18,Freelancer,Other,Delhi,Shared,Yes,2
Golden Acres PG Stay,31,Artist,Other,Bangalore,Dormitory,No,2
Cozy Nest Residency,26,Business Owner,Other,Ahmedabad,Single,Yes,2
Greenwood PG Inn,36,Business Owner,Other,Chennai,Shared,No,3
Cozy Nest Inn,31,Doctor,Female,Kolkata,Dormitory,Yes,1
Harmony Living Lodge,42,Freelancer,Female,Pune,Dormitory,Yes,3
Skyline PG Lodge,23,Student,Female,Bangalore,Single,Yes,1
Safe Haven Stay,19,Software Engineer,Other,Delhi,Dormitory,No,5
City Comforts Living,26,Artist,Male,Pune,Dormitory,No,4
City Comforts Inn,35,Software Engineer,Male,Ahmedabad,Single,Yes,2
Pearl Residency Residency,33,Business Owner,Male,Hyderabad,Single,No,3
Lotus Living Inn,44,Student,Female,Kolkata,Single,Yes,2
Skyline PG Residency,31,Student,Male,Ahmedabad,Single,Yes,5
Serene Stay Lodge,27,Software Engineer,Other,Kolkata,Dormitory,Yes,4
Serene Stay Inn,32,Software Engineer,Male,Bangalore,Single,No,1
Golden Acres PG Residency,20,Teacher,Male,Bangalore,Single,Yes,5
Happy Homes Lodge,44,Freelancer,Female,Chennai,Shared,Yes,4
Urban Habitat Inn,30,Student,Female,Kolkata,Dormitory,No,3
Happy Homes Inn,23,Software Engineer,Other,Kolkata,Single,No,4
Pearl Residency Lodge,23,Software Engineer,Female,Ahmedabad,Dormitory,No,2
The Urban Nest Lodge,45,Doctor,Male,Kolkata,Shared,No,2
Cozy Nest Stay,20,Artist,Female,Pune,Dormitory,No,1
Happy Homes Lodge,42,Teacher,Other,Ahmedabad,Shared,No,1
Tranquil Residency Living,25,Freelancer,Male,Hyderabad,Dormitory,No,1
Harmony Living Living,31,Doctor,Other,Pune,Shared,Yes,2
Happy Homes Stay,37,Student,Other,Delhi,Single,Yes,5
Urban Habitat Stay,22,Software Engineer,Male,Pune,Shared,No,1
Smart Stay Living,18,Student,Female,Bangalore,Single,Yes,1
City Comforts Inn,41,Software Engineer,Male,Mumbai,Dormitory,No,1
Harmony Living Stay,18,Software Engineer,Other,Hyderabad,Dormitory,Yes,5
Lotus Living Inn,45,Business Owner,Other,Mumbai,Dormitory,No,5
Metro Living Living,18,Software Engineer,Other,Delhi,Dormitory,No,2
Harmony Living Stay,42,Student,Male,Bangalore,Shared,Yes,4
Urban Habitat Residency,32,Doctor,Female,Ahmedabad,Shared,No,3
Tranquil Residency Living,44,Teacher,Female,Chennai,Dormitory,Yes,4
Sunrise PG Living,31,Doctor,Other,Hyderabad,Single,No,1
NestAway PG Lodge,45,Artist,Other,Hyderabad,Shared,Yes,3
Metro Living Living,23,Business Owner,Other,Ahmedabad,Dormitory,No,4
Serene Stay Lodge,19,Student,Male,Mumbai,Single,Yes,4
Comfort Inn Lodge,32,Student,Other,Delhi,Dormitory,No,4
Safe Haven Living,34,Student,Female,Hyderabad,Shared,No,2
Harmony Living Inn,31,Student,Female,Bangalore,Single,Yes,2
Greenwood PG Residency,44,Freelancer,Other,Hyderabad,Single,Yes,5
Smart Stay Inn,33,Teacher,Female,Delhi,Single,No,1
Sunrise PG Residency,39,Freelancer,Female,Delhi,Dormitory,No,1
Pearl Residency Stay,38,Freelancer,Female,Mumbai,Dormitory,Yes,4
Elite Stay Inn,29,Freelancer,Male,Bangalore,Single,Yes,2
Serene Stay Inn,39,Freelancer,Other,Delhi,Shared,No,4
Urban Habitat Lodge,28,Software Engineer,Other,Chennai,Shared,Yes,3
NestAway PG Lodge,41,Student,Other,Delhi,Shared,No,5
Safe Haven Lodge,42,Freelancer,Female,Hyderabad,Single,No,2
Royal Residency Residency,38,Artist,Female,Chennai,Shared,Yes,4
Smart Stay Residency,27,Artist,Female,Bangalore,Single,Yes,4
Infinity PG Stay,32,Student,Male,Kolkata,Shared,Yes,5
Golden Acres PG Inn,41,Artist,Female,Kolkata,Shared,No,4
Smart Stay Inn,42,Student,Female,Bangalore,Single,No,2
Lotus Living Lodge,42,Artist,Male,Delhi,Dormitory,No,1
Harmony Living Stay,21,Artist,Male,Pune,Single,Yes,4
Skyline PG Lodge,21,Teacher,Other,Bangalore,Dormitory,Yes,3
Smart Stay Living,27,Student,Female,Kolkata,Shared,No,3
Maple PG Lodge,32,Teacher,Female,Pune,Dormitory,Yes,4
Safe Haven Stay,32,Artist,Female,Pune,Single,No,1
Pearl Residency Stay,23,Business Owner,Other,Delhi,Single,No,4
Smart Stay Living,30,Business Owner,Male,Pune,Shared,Yes,4
Safe Haven Living,44,Teacher,Female,Pune,Single,Yes,2
Lotus Living Inn,41,Teacher,Other,Delhi,Single,Yes,4
Blue Sky PG Inn,21,Teacher,Female,Ahmedabad,Single,No,1
Royal Residency Living,41,Artist,Male,Kolkata,Single,Yes,1
Maple PG Stay,18,Freelancer,Male,Hyderabad,Dormitory,No,3
Elite Stay Lodge,30,Teacher,Other,Pune,Shared,No,1
Lotus Living Inn,29,Freelancer,Female,Bangalore,Dormitory,No,2
NestAway PG Residency,36,Student,Male,Mumbai,Single,No,1
Greenwood PG Inn,31,Teacher,Male,Pune,Single,Yes,4
Tranquil Residency Lodge,39,Student,Other,Hyderabad,Dormitory,Yes,4
Tranquil Residency Residency,26,Artist,Other,Ahmedabad,Single,No,5
Harmony Living Residency,37,Student,Other,Hyderabad,Dormitory,No,2
Tranquil Residency Lodge,35,Software Engineer,Other,Ahmedabad,Dormitory,No,5
City Comforts Living,32,Artist,Other,Hyderabad,Shared,Yes,3
Harmony Living Stay,20,Student,Other,Delhi,Shared,Yes,3
NestAway PG Residency,43,Business Owner,Other,Bangalore,Shared,No,4
Safe Haven Stay,23,Artist,Other,Mumbai,Shared,No,5
Happy Homes Inn,39,Doctor,Other,Hyderabad,Single,Yes,2
Royal Residency Lodge,25,Student,Male,Hyderabad,Single,Yes,2
Elite Stay Stay,25,Artist,Other,Ahmedabad,Single,No,5
Royal Residency Lodge,42,Freelancer,Female,Bangalore,Shared,No,5
Urban Habitat Living,36,Doctor,Female,Chennai,Single,No,2
Pearl Residency Residency,24,Student,Male,Mumbai,Single,No,1
Royal Residency Lodge,25,Doctor,Other,Mumbai,Dormitory,No,4
Sunrise PG Residency,37,Doctor,Male,Mumbai,Shared,No,5
Harmony Living Residency,37,Software Engineer,Other,Ahmedabad,Single,No,1
